origem,destino,tempo_min,passageiros
32,21,3.25,7
32,22,3.34,1
32,23,5.44,6
32,24,5.7,25
32,25,5.04,6
32,26,4.89,6
32,27,3.79,6
32,28,4.81,5
32,29,4.88,6
32,30,4.76,4
32,31,2.85,11
